epoch,train_loss,val_loss,val_accuracy
1,0.1208082027733326,0.08690695185214281,0.6666666666666666
2,0.06060594767332077,0.10349857248365879,0.6333333333333333
3,0.033445199206471446,0.07935649156570435,0.6333333333333333
4,0.02043803526709477,0.023556548869237304,0.9
5,0.018201904743909834,0.008679627790115774,0.9666666666666667
6,0.017170203321923812,0.0058347583981230855,0.95
7,0.017852145060896874,0.006909097777679563,0.95
8,0.01482279806708296,0.007077694754116237,0.9333333333333333
9,0.013961983658373357,0.006276145693846047,0.95
10,0.017686566058546304,0.016254681046120822,0.9083333333333333
11,0.01516029875104626,0.022160195745527744,0.8666666666666667
12,0.011048294013986985,0.004500512965023518,0.975
13,0.014539998924980561,0.010248921113088727,0.9166666666666666
14,0.013162895198911428,0.008561525377444923,0.95
15,0.008967165773113569,0.0060375743778422475,0.975
16,0.009363489629079898,0.00563842779956758,0.975
17,0.00781636064251264,0.005327683058567345,0.9666666666666667
18,0.009522496660550436,0.008016679785214365,0.95
19,0.006166355544701218,0.005607139319181442,0.95
20,0.0066340090706944466,0.0044758261647075415,0.975
21,0.008325703550751011,0.004017141298390925,0.9833333333333333
22,0.008788477272416155,0.0047960159718059,0.9833333333333333
23,0.009632838641603787,0.00444049306679517,0.9833333333333333
24,0.006617072752366463,0.004184194025583565,0.9916666666666667
25,0.006147666539375981,0.0046298528322950006,0.9916666666666667
26,0.0073134353539596,0.004127464082557708,0.975
27,0.006420817412436009,0.003176666854415089,0.9833333333333333
28,0.007191922810549537,0.004228950245305896,0.9916666666666667
29,0.005409607229133447,0.004062341060489416,1.0
30,0.006104712591816982,0.0036159215378575027,1.0
